City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hokitika,-42.7167,170.9667,14.63,83,100,8.4,NZ,1679954883
84,mazyr,52.0495,29.2456,8.11,83,100,5.22,BY,1679954885
85,tiksi,71.6872,128.8694,-23.83,99,45,4.15,RU,1679954885
86,esperance,-33.8667,121.9,15.42,66,22,3.74,AU,1679954886
87,guerrero negro,27.9769,-114.0611,23.58,29,46,5.95,MX,1679954886
88,sao cristovao,-11.0147,-37.2064,27.95,69,40,4.12,BR,1679954886
89,espanola,35.9911,-106.0806,9.04,17,1,7.84,US,1679954887
90,tuktoyaktuk,69.4541,-133.0374,-3.97,84,100,7.51,CA,1679954887
91,linfen,36.0889,111.5189,11.94,34,72,0.5,CN,1679954888
92,butaritari,3.0707,172.7902,27.75,76,61,7.08,KI,1679954888
93,aripuana,-9.1667,-60.6333,23.54,97,99,0.35,BR,1679954807
94,omsukchan,62.5333,155.8,-13.55,83,20,3.19,RU,1679954889
95,sitka,57.0531,-135.33,6.94,61,0,3.6,US,1679954890
96,luwuk,-0.9516,122.7875,25.1,82,100,1.39,ID,1679954890
97,hiriyur,13.9456,76.6192,23.85,44,100,2.05,IN,1679954891
98,atuona,-9.8,-139.0333,27.02,74,100,5.26,PF,1679954891
99,numan,9.4667,12.0333,30.16,13,86,1.43,NG,1679954891
100,lewistown,40.5992,-77.5714,13.67,54,75,3.09,US,1679954892
101,dikson,73.5069,80.5464,-26.33,100,99,3.61,RU,1679954893
102,port blair,11.6667,92.75,26.04,76,100,2.53,IN,1679954894
103,mitsamiouli,-11.3847,43.2844,27.21,77,82,0.69,KM,1679954895
104,carnarvon,-24.8667,113.6333,23.55,77,100,4.51,AU,1679954895
105,bambous virieux,-20.3428,57.7575,24.01,81,8,0.86,MU,1679954895
106,mar del plata,-38.0023,-57.5575,23.38,60,0,4.63,AR,1679954896
107,hobart,-42.8794,147.3294,12.92,93,75,1.54,AU,1679954896
108,hede,33.7681,120.2517,6.54,80,0,2.1,CN,1679954897
109,husavik,66.0449,-17.3389,-6.16,89,90,4.09,IS,1679954898
110,longyearbyen,78.2186,15.6401,-12.09,67,20,4.63,SJ,1679954898
111,mahebourg,-20.4081,57.7,24.03,82,5,1.11,MU,1679954899
112,eureka,40.8021,-124.1637,12.18,40,100,5.81,US,1679954723
113,dumka,24.2667,87.25,25.5,31,46,1.96,IN,1679954900
114,caucaia,-3.7361,-38.6531,25.97,82,75,2.06,BR,1679954901
115,zhigansk,66.7697,123.3711,-8.48,94,100,8.13,RU,1679954901
116,ribeira grande,38.5167,-28.7,15.99,81,4,9.39,PT,1679954902
117,tual,-5.6667,132.75,28.99,72,100,6.55,ID,1679954902
118,sabang,5.8933,95.3214,28.37,75,78,4.99,ID,1679954903
119,torbay,47.6666,-52.7314,1.82,94,100,7.2,CA,1679954791
120,nikolskoye,59.7035,30.7861,-1.06,97,99,0.74,RU,1679954903
121,shakawe,-18.3667,21.85,20.18,90,100,1.07,BW,1679954904
122,gamba,-2.65,10.0,25.7,87,100,2.22,GA,1679954904
123,kainantu,-6.2887,145.8655,17.5,88,95,0.22,PG,1679954904
124,itaituba,-4.2761,-55.9836,24.3,98,100,0.48,BR,1679954905
125,velikovechnoye,44.934,39.755,5.75,94,40,2.6,RU,1679954905
126,pisco,-13.7,-76.2167,25.03,73,0,9.77,PE,1679954905
127,baykit,61.67,96.37,-9.13,86,98,7.02,RU,1679954906
128,margate,51.3813,1.3862,5.17,73,18,0.89,GB,1679954906
129,asfi,32.2994,-9.2372,16.76,69,0,5.69,MA,1679954627
130,dongkan,33.9997,119.8308,6.78,75,0,1.35,CN,1679954906
131,niquelandia,-14.4739,-48.4597,25.37,71,100,0.34,BR,1679954907
132,khuzhir,53.1939,107.3397,-0.22,86,100,4.52,RU,1679954907
133,price,39.5994,-110.8107,2.59,32,0,4.63,US,1679954909
134,teguise,29.0605,-13.564,16.12,82,20,6.17,ES,1679954909
135,aklavik,68.2191,-135.0107,3.16,82,100,5.5,CA,1679954910
136,vega de alatorre,20.0333,-96.6333,29.43,61,4,3.83,MX,1679954910
137,portland,45.5234,-122.6762,13.67,45,100,8.23,US,1679954856
138,barrow,71.2906,-156.7887,-9.99,73,0,8.75,US,1679954910
139,cidreira,-30.1811,-50.2056,21.01,63,0,3.69,BR,1679954911
140,rocha,-34.4833,-54.3333,17.39,76,0,3.53,UY,1679954912
141,luderitz,-26.6481,15.1594,16.72,88,3,0.61,NA,1679954913
142,ambon,-3.6954,128.1814,24.08,94,40,3.6,ID,1679954914
143,kodiak,57.79,-152.4072,4.73,65,0,2.57,US,1679954915
144,pangoa,-12.1167,-73.0,25.08,73,68,0.45,PE,1679954915
145,doka,13.5167,35.7667,26.78,18,54,4.55,SD,1679954916
146,coihaique,-45.5752,-72.0662,10.34,62,40,4.63,CL,1679954916
147,sorland,67.667,12.6934,-2.08,59,22,3.6,NO,1679954916
148,souillac,-20.5167,57.5167,24.39,86,4,1.82,MU,1679954916
149,codrington,-38.2667,141.9667,14.39,79,58,0.48,AU,1679954916
150,lyuban,52.7985,28.0048,6.98,92,100,3.0,BY,1679954917
151,sola,-13.8833,167.55,27.98,75,95,2.97,VU,1679954917
152,high level,58.5169,-117.136,-2.08,71,100,1.05,CA,1679954918
153,talnakh,69.4865,88.3972,-29.89,99,99,3.13,RU,1679954918
154,russkaya polyana,49.417,31.9201,9.59,65,100,4.23,UA,1679954918
155,nileshwar,12.25,75.1,24.27,77,85,3.97,IN,1679954919
156,san remo,43.8182,7.7612,15.17,9,0,2.68,IT,1679954919
157,avera,33.194,-82.5271,21.03,78,86,5.25,US,1679954920
158,kristiinankaupunki,62.2743,21.376,-4.39,83,100,8.07,FI,1679954920
159,thinadhoo,0.5333,72.9333,27.81,78,91,4.79,MV,1679954920
160,richards bay,-28.783,32.0377,19.69,63,100,2.11,ZA,1679954921
161,lata,40.1629,-8.3327,13.29,60,93,0.95,PT,1679954921
162,labuhan,-6.8844,112.2051,24.81,83,100,1.81,ID,1679954921
163,soyo,-6.1349,12.3689,26.74,80,100,1.92,AO,1679954922
164,sept-iles,50.2001,-66.3821,0.59,86,100,0.45,CA,1679954922
165,arys,42.4252,68.795,12.98,44,0,3.0,KZ,1679954922
166,clyde river,70.4692,-68.5914,-26.51,98,40,1.13,CA,1679954922
167,krasnoselkup,65.7,82.4667,-25.03,97,26,3.95,RU,1679954923
168,eyl,7.9803,49.8164,26.78,81,81,4.2,SO,1679954923
169,sao jose da coroa grande,-8.8978,-35.1478,25.82,79,4,3.23,BR,1679954924
170,ancud,-41.8697,-73.8203,12.6,95,100,7.44,CL,1679954924
171,inuvik,68.3499,-133.7218,1.93,90,100,5.37,CA,1679954924
172,ixtapa,20.7,-105.2,25.57,57,0,6.17,MX,1679954924
173,macas,-2.3167,-78.1167,23.86,73,40,4.12,EC,1679954924
174,sistranda,63.7256,8.834,-4.02,53,2,2.25,NO,1679954925
175,tuatapere,-46.1333,167.6833,7.65,76,95,5.43,NZ,1679954925
176,vostok,46.4856,135.8833,-3.77,70,9,2.12,RU,1679954925
177,airai,-8.9266,125.4092,14.96,94,100,1.2,TL,1679954925
178,bay roberts,47.5999,-53.2648,2.25,88,100,2.68,CA,1679954925
179,juxtlahuaca,17.4294,-99.1467,31.79,22,1,4.78,MX,1679954925
180,bakchar,57.0186,82.0711,0.79,98,100,2.64,RU,1679954926
181,san agustin,20.5333,-103.4667,31.95,9,40,3.6,MX,1679954926
182,camopi,3.1655,-52.3158,22.85,98,100,1.72,GF,1679954926
183,new norfolk,-42.7826,147.0587,12.72,79,100,1.63,AU,1679954927
184,mugumu,-1.85,34.7,15.08,96,35,0.9,TZ,1679954927
185,ardakan,32.31,54.0175,16.25,45,63,1.22,IR,1679954928
186,jumla,29.2747,82.1838,2.97,75,23,2.12,NP,1679954928
187,buraydah,26.326,43.975,19.63,40,32,3.38,SA,1679954922
188,taiyuan,37.8694,112.5603,2.92,52,63,1.0,CN,1679954929
189,athabasca,54.7169,-113.2854,-6.77,60,100,5.01,CA,1679954739
190,chernyshevskiy,63.0128,112.4714,-10.76,97,100,0.71,RU,1679954929
191,hofn,64.2539,-15.2082,-1.76,83,100,7.93,IS,1679954929
192,khammam,17.25,80.15,24.97,88,41,2.24,IN,1679954929
193,pedernales,18.0384,-71.744,28.19,48,0,4.32,DO,1679954930
194,roald,62.5833,6.1333,-0.14,74,0,4.12,NO,1679954930
195,amuntai,-2.4177,115.2494,23.11,99,100,0.8,ID,1679954930
196,montrose,38.4166,-108.2673,-3.33,31,88,5.11,US,1679954930
197,shiyan,32.6475,110.7781,11.53,59,100,0.68,CN,1679954931
198,port elizabeth,-33.918,25.5701,16.84,81,100,2.24,ZA,1679954931
199,vardo,70.3705,31.1107,-7.01,93,99,6.17,NO,1679954931
200,tevaitoa,-16.7833,-151.5,27.65,74,100,3.96,PF,1679954931
201,srikakulam,18.3,83.9,26.34,85,40,2.89,IN,1679954932
202,rio grande city,26.3798,-98.8203,34.61,36,88,3.62,US,1679954693
203,ahipara,-35.1667,173.1667,20.22,69,87,3.0,NZ,1679954932
204,grafton,42.207,-71.6856,13.33,34,100,2.57,US,1679954932
205,syntul,55.0033,41.2971,4.16,92,53,2.25,RU,1679954933
206,lompoc,34.6391,-120.4579,20.56,32,75,3.6,US,1679954933
207,fillmore,43.6666,-92.1002,6.86,39,0,4.12,US,1679954933
208,korla,41.7597,86.1469,10.1,28,1,2.49,CN,1679954933
209,dovers,12.8833,-61.1833,25.72,74,16,9.23,VC,1679954933
210,ilulissat,69.2167,-51.1,-13.99,85,20,3.09,GL,1679954934
211,lidkoping,58.5052,13.1577,-1.99,56,100,6.48,SE,1679954934
212,hobyo,5.3505,48.5268,28.19,72,64,5.95,SO,1679954934
213,grand gaube,-20.0064,57.6608,24.1,80,5,0.89,MU,1679954934
214,vankleek hill,45.5168,-74.6493,6.18,77,100,2.84,CA,1679954935
215,arraial do cabo,-22.9661,-42.0278,25.26,84,88,4.79,BR,1679954935
